isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS
0,and,some,some,2,DT,IN,CC,NN,IN
0,and,work,work,3,NN,DT,IN,IN,DT
0,and,with,with,4,IN,NN,DT,DT,JJ
0,and,a,a,5,DT,IN,NN,JJ,NN
0,and,colored,color,6,JJ,DT,IN,NN,PRP
0,and,pencil,pencil,7,NN,JJ,DT,PRP,VBD
0,and,I,i,8,PRP,NN,JJ,VBD,IN
0,and,succeeded,succeed,9,VBD,PRP,NN,IN,VBG
0,and,in,in,10,IN,VBD,PRP,VBG,PRP$
0,and,making,make,11,VBG,IN,VBD,PRP$,JJ
0,and,my,my,12,PRP$,VBG,IN,JJ,NN
0,and,first,first,13,JJ,PRP$,VBG,NN,.
0,and,drawing,draw,14,NN,JJ,PRP$,.,XXXX
0,and,.,.,15,.,NN,JJ,XXXX,XXXX
0,picture,My,my,0,PRP$,XXXX,XXXX,VBG,NNP
0,picture,Drawing,drawing,1,VBG,PRP$,XXXX,NNP,CD
0,picture,Number,number,2,NNP,VBG,PRP$,CD,.
0,picture,One,one,3,CD,NNP,VBG,.,XXXX
0,picture,.,.,4,.,CD,NNP,XXXX,XXXX
0,and,It,it,0,PRP,XXXX,XXXX,VBD,IN
0,and,looked,look,1,VBD,PRP,XXXX,IN,DT
0,and,like,like,2,IN,VBD,PRP,DT,:
0,and,this,this,3,DT,IN,VBD,:,PRP
0,and,:,:,4,:,DT,IN,PRP,VBD
0,and,I,i,5,PRP,:,DT,VBD,PRP$
0,and,showed,show,6,VBD,PRP,:,PRP$,NN
0,and,my,my,7,PRP$,VBD,PRP,NN,TO
0,and,masterpiece,masterpiece,8,NN,PRP$,VBD,TO,DT
0,and,to,to,9,TO,NN,PRP$,DT,JJ
0,and,the,the,10,DT,TO,NN,JJ,:
0,and,grown,grown,11,JJ,DT,TO,:,NNS
0,and,-,-,12,:,JJ,DT,NNS,","
0,and,ups,ups,13,NNS,:,JJ,",",CC
0,and,",",",",14,",",NNS,:,CC,VBD
1,and,and,and,15,CC,",",NNS,VBD,PRP
0,and,asked,ask,16,VBD,CC,",",PRP,IN
0,and,them,them,17,PRP,VBD,CC,IN,DT
0,and,whether,whether,18,IN,PRP,VBD,DT,NN
0,and,the,the,19,DT,IN,PRP,NN,VBD
0,and,drawing,draw,20,NN,DT,IN,VBD,PRP
0,and,frightened,frighten,21,VBD,NN,DT,PRP,.
0,and,them,them,22,PRP,VBD,NN,.,XXXX
0,and,.,.,23,.,PRP,VBD,XXXX,XXXX
0,contrast,But,but,0,CC,XXXX,XXXX,PRP,VBD
0,contrast,they,they,1,PRP,CC,XXXX,VBD,:
0,contrast,answered,answer,2,VBD,PRP,CC,:,``
0,contrast,:,:,3,:,VBD,PRP,``,NNP
0,contrast,``,``,4,``,:,VBD,NNP,.
0,contrast,Frighten,frighten,5,NNP,``,:,.,XXXX
0,contrast,?,?,6,.,NNP,``,XXXX,XXXX
0,frighten,Why,why,0,WRB,XXXX,XXXX,MD,DT
0,frighten,should,should,1,MD,WRB,XXXX,DT,CD
0,frighten,any,any,2,DT,MD,WRB,CD,VB
0,frighten,one,one,3,CD,DT,MD,VB,VBN
0,frighten,be,be,4,VB,CD,DT,VBN,IN
1,frighten,frightened,frighten,5,VBN,VB,CD,IN,DT
0,frighten,by,by,6,IN,VBN,VB,DT,NN
0,frighten,a,a,7,DT,IN,VBN,NN,.
0,frighten,hat,hat,8,NN,DT,IN,.,``
0,frighten,?,?,9,.,NN,DT,``,XXXX
0,frighten,``,``,10,``,.,NN,XXXX,XXXX
0,picture,My,my,0,PRP$,XXXX,XXXX,NN,VBD
0,picture,drawing,draw,1,NN,PRP$,XXXX,VBD,RB
0,picture,was,be,2,VBD,NN,PRP$,RB,DT
0,picture,not,not,3,RB,VBD,NN,DT,NN
0,picture,a,a,4,DT,RB,VBD,NN,IN
1,picture,picture,picture,5,NN,DT,RB,IN,DT
0,picture,of,of,6,IN,NN,DT,DT,NN
0,picture,a,a,7,DT,IN,NN,NN,.
0,picture,hat,hat,8,NN,DT,IN,.,XXXX
0,picture,.,.,9,.,NN,DT,XXXX,XXXX
0,picture,It,it,0,PRP,XXXX,XXXX,VBD,DT
0,picture,was,be,1,VBD,PRP,XXXX,DT,NN
0,picture,a,a,2,DT,VBD,PRP,NN,IN
1,picture,picture,picture,3,NN,DT,VBD,IN,DT
0,picture,of,of,4,IN,NN,DT,DT,NN
0,picture,a,a,5,DT,IN,NN,NN,NN
0,picture,boa,boa,6,NN,DT,IN,NN,VBG
0,picture,constrictor,constrictor,7,NN,NN,DT,VBG,DT
0,picture,digesting,digest,8,VBG,NN,NN,DT,NN
0,picture,an,an,9,DT,VBG,NN,NN,.
0,picture,elephant,elephant,10,NN,DT,VBG,.,XXXX
0,picture,.,.,11,.,NN,DT,XXXX,XXXX
0,contrast,But,but,0,CC,XXXX,XXXX,IN,DT
0,contrast,since,since,1,IN,CC,XXXX,DT,JJ
0,contrast,the,the,2,DT,IN,CC,JJ,:
0,contrast,grown,grown,3,JJ,DT,IN,:,NNS
0,contrast,-,-,4,:,JJ,DT,NNS,VBD
0,contrast,ups,ups,5,NNS,:,JJ,VBD,RB
0,contrast,were,be,6,VBD,NNS,:,RB,JJ
0,contrast,not,not,7,RB,VBD,NNS,JJ,TO
0,contrast,able,able,8,JJ,RB,VBD,TO,VB
0,contrast,to,to,9,TO,JJ,RB,VB,PRP
0,contrast,understand,understand,10,VB,TO,JJ,PRP,","
0,contrast,it,it,11,PRP,VB,TO,",",PRP
0,contrast,",",",",12,",",PRP,VB,PRP,VBD
0,contrast,I,i,13,PRP,",",PRP,VBD,DT
0,contrast,made,make,14,VBD,PRP,",",DT,NN
0,contrast,another,another,15,DT,VBD,PRP,NN,:
0,contrast,drawing,draw,16,NN,DT,VBD,:,PRP
0,contrast,:,:,17,:,NN,DT,PRP,VBD
0,contrast,I,i,18,PRP,:,NN,VBD,DT
0,contrast,drew,drew,19,VBD,PRP,:,DT,NN
0,contrast,the,the,20,DT,VBD,PRP,NN,IN
0,contrast,inside,inside,21,NN,DT,VBD,IN,DT
0,contrast,of,of,22,IN,NN,DT,DT,NN
0,contrast,the,the,23,DT,IN,NN,NN,NN
0,contrast,boa,boa,24,NN,DT,IN,NN,","
0,contrast,constrictor,constrictor,25,NN,NN,DT,",",IN
0,contrast,",",",",26,",",NN,NN,IN,IN
0,contrast,so,so,27,IN,",",NN,IN,DT
0,contrast,that,that,28,IN,IN,",",DT,JJ
0,contrast,the,the,29,DT,IN,IN,JJ,:
0,contrast,grown,grown,30,JJ,DT,IN,:,NNS
0,contrast,-,-,31,:,JJ,DT,NNS,MD
0,contrast,ups,ups,32,NNS,:,JJ,MD,VB
0,contrast,could,could,33,MD,NNS,:,VB,PRP
0,contrast,see,see,34,VB,MD,NNS,PRP,RB
0,contrast,it,it,35,PRP,VB,MD,RB,.
0,contrast,clearly,clearly,36,RB,PRP,VB,.,XXXX
0,contrast,.,.,37,.,RB,PRP,XXXX,XXXX
0,need,They,they,0,PRP,XXXX,XXXX,RB,VBP
0,need,always,always,1,RB,PRP,XXXX,VBP,TO
1,need,need,need,2,VBP,RB,PRP,TO,VB
0,need,to,to,3,TO,VBP,RB,VB,NNS
0,need,have,have,4,VB,TO,VBP,NNS,VBN
0,need,things,thing,5,NNS,VB,TO,VBN,.
0,need,explained,explain,6,VBN,NNS,VB,.,XXXX
0,need,.,.,7,.,VBN,NNS,XXXX,XXXX
0,and,My,my,0,PRP$,XXXX,XXXX,VBG,NNP
0,and,Drawing,drawing,1,VBG,PRP$,XXXX,NNP,CD
0,and,Number,number,2,NNP,VBG,PRP$,CD,VBD
0,and,Two,two,3,CD,NNP,VBG,VBD,IN
0,and,looked,look,4,VBD,CD,NNP,IN,DT
0,and,like,like,5,IN,VBD,CD,DT,:
0,and,this,this,6,DT,IN,VBD,:,DT
0,and,:,:,7,:,DT,IN,DT,JJ
0,and,The,the,8,DT,:,DT,JJ,:
0,and,grown,grown,9,JJ,DT,:,:,NNS
0,and,-,-,10,:,JJ,DT,NNS,POS
0,and,ups,ups,11,NNS,:,JJ,POS,NN
0,and,',',12,POS,NNS,:,NN,","
0,and,response,response,13,NN,POS,NNS,",",DT
0,and,",",",",14,",",NN,POS,DT,NN
0,and,this,this,15,DT,",",NN,NN,","
0,and,time,time,16,NN,DT,",",",",VBD
0,and,",",",",17,",",NN,DT,VBD,TO
0,and,was,be,18,VBD,",",NN,TO,VB
0,and,to,to,19,TO,VBD,",",VB,PRP
0,and,advise,advise,20,VB,TO,VBD,PRP,TO
0,and,me,me,21,PRP,VB,TO,TO,VB
0,and,to,to,22,TO,PRP,VB,VB,RP
0,and,lay,lay,23,VB,TO,PRP,RP,PRP$
0,and,aside,aside,24,RP,VB,TO,PRP$,NNS
0,and,my,my,25,PRP$,RP,VB,NNS,IN
0,and,drawings,drawing,26,NNS,PRP$,RP,IN,NN
0,and,of,of,27,IN,NNS,PRP$,NN,NNS
0,and,boa,boa,28,NN,IN,NNS,NNS,","
0,and,constrictors,constrictor,29,NNS,NN,IN,",",IN
0,and,",",",",30,",",NNS,NN,IN,IN
0,and,whether,whether,31,IN,",",NNS,IN,DT
0,and,from,from,32,IN,IN,",",DT,NN
0,and,the,the,33,DT,IN,IN,NN,CC
0,and,inside,inside,34,NN,DT,IN,CC,DT
0,and,or,or,35,CC,NN,DT,DT,JJ
0,and,the,the,36,DT,CC,NN,JJ,","
0,and,outside,outside,37,JJ,DT,CC,",",CC
0,and,",",",",38,",",JJ,DT,CC,VB
1,and,and,and,39,CC,",",JJ,VB,PRP
0,and,devote,devote,40,VB,CC,",",PRP,RB
0,and,myself,myself,41,PRP,VB,CC,RB,TO
0,and,instead,instead,42,RB,PRP,VB,TO,VB
0,and,to,to,43,TO,RB,PRP,VB,","
0,and,geography,geography,44,VB,TO,RB,",",NN
0,and,",",",",45,",",VB,TO,NN,","
0,and,history,history,46,NN,",",VB,",",JJ
0,and,",",",",47,",",NN,",",JJ,CC
0,and,arithmetic,arithmetic,48,JJ,",",NN,CC,NN
0,and,and,and,49,CC,JJ,",",NN,.
0,and,grammar,grammar,50,NN,CC,JJ,.,XXXX
0,and,.,.,51,.,NN,CC,XXXX,XXXX
0,cause,That,that,0,DT,XXXX,XXXX,VBZ,WRB
0,cause,is,be,1,VBZ,DT,XXXX,WRB,","
0,cause,why,why,2,WRB,VBZ,DT,",",IN
0,cause,",",",",3,",",WRB,VBZ,IN,DT
0,cause,at,at,4,IN,",",WRB,DT,NN
0,cause,the,the,5,DT,IN,",",NN,IN
0,cause,age,age,6,NN,DT,IN,IN,CD
0,cause,of,of,7,IN,NN,DT,CD,","
0,cause,six,six,8,CD,IN,NN,",",PRP
0,cause,",",",",9,",",CD,IN,PRP,VBD
0,cause,I,i,10,PRP,",",CD,VBD,RP
0,cause,gave,give,11,VBD,PRP,",",RP,WP
0,cause,up,up,12,RP,VBD,PRP,WP,MD
0,cause,what,what,13,WP,RP,VBD,MD,VB
0,cause,might,might,14,MD,WP,RP,VB,VBN
0,cause,have,have,15,VB,MD,WP,VBN,DT
0,cause,been,be,16,VBN,VB,MD,DT,JJ
0,cause,a,a,17,DT,VBN,VB,JJ,NN
0,cause,magnificent,magnificent,18,JJ,DT,VBN,NN,IN
0,cause,career,career,19,NN,JJ,DT,IN,DT
0,cause,as,a,20,IN,NN,JJ,DT,NN
0,cause,a,a,21,DT,IN,NN,NN,.
0,cause,painter,painter,22,NN,DT,IN,.,XXXX
0,cause,.,.,23,.,NN,DT,XXXX,XXXX
0,dishearten,I,i,0,PRP,XXXX,XXXX,VBD,VBN
0,dishearten,had,have,1,VBD,PRP,XXXX,VBN,VBN
0,dishearten,been,be,2,VBN,VBD,PRP,VBN,IN
1,dishearten,disheartened,dishearten,3,VBN,VBN,VBD,IN,DT
0,dishearten,by,by,4,IN,VBN,VBN,DT,NN
0,dishearten,the,the,5,DT,IN,VBN,NN,IN
0,dishearten,failure,failure,6,NN,DT,IN,IN,PRP$
0,dishearten,of,of,7,IN,NN,DT,PRP$,VBG
0,dishearten,my,my,8,PRP$,IN,NN,VBG,NNP
0,dishearten,Drawing,drawing,9,VBG,PRP$,IN,NNP,CD
0,dishearten,Number,number,10,NNP,VBG,PRP$,CD,CC
0,dishearten,One,one,11,CD,NNP,VBG,CC,PRP$
0,dishearten,and,and,12,CC,CD,NNP,PRP$,VBG
0,dishearten,my,my,13,PRP$,CC,CD,VBG,NNP
0,dishearten,Drawing,drawing,14,VBG,PRP$,CC,NNP,CD
0,dishearten,Number,number,15,NNP,VBG,PRP$,CD,.
0,dishearten,Two,two,16,CD,NNP,VBG,.,XXXX
0,dishearten,.,.,17,.,CD,NNP,XXXX,XXXX
0,and,Grown,grown,0,NNP,XXXX,XXXX,:,JJ
0,and,-,-,1,:,NNP,XXXX,JJ,RB
0,and,ups,ups,2,JJ,:,NNP,RB,VBP
0,and,never,never,3,RB,JJ,:,VBP,NN
0,and,understand,understand,4,VBP,RB,JJ,NN,IN
0,and,anything,anything,5,NN,VBP,RB,IN,PRP
0,and,by,by,6,IN,NN,VBP,PRP,","
0,and,themselves,themselves,7,PRP,IN,NN,",",CC
0,and,",",",",8,",",PRP,IN,CC,PRP
1,and,and,and,9,CC,",",PRP,PRP,VBZ
0,and,it,it,10,PRP,CC,",",VBZ,VBN
0,and,is,be,11,VBZ,PRP,CC,VBN,IN
0,and,tiresome,tiresome,12,VBN,VBZ,PRP,IN,NNS
0,and,for,for,13,IN,VBN,VBZ,NNS,TO
0,and,children,child,14,NNS,IN,VBN,TO,VB
0,and,to,to,15,TO,NNS,IN,VB,RB
0,and,be,be,16,VB,TO,NNS,RB,CC
0,and,always,always,17,RB,VB,TO,CC,RB
0,and,and,and,18,CC,RB,VB,RB,VBG
0,and,forever,forever,19,RB,CC,RB,VBG,NNS
0,and,explaining,explain,20,VBG,RB,CC,NNS,TO
0,and,things,thing,21,NNS,VBG,RB,TO,PRP
0,and,to,to,22,TO,NNS,VBG,PRP,.
0,and,them,them,23,PRP,TO,NNS,.,XXXX
0,and,.,.,24,.,PRP,TO,XXXX,XXXX
0,cause,So,so,0,RB,XXXX,XXXX,RB,PRP
0,cause,then,then,1,RB,RB,XXXX,PRP,VBP
0,cause,I,i,2,PRP,RB,RB,VBP,DT
0,cause,chose,chose,3,VBP,PRP,RB,DT,NN
0,cause,another,another,4,DT,VBP,PRP,NN,","
0,cause,profession,profession,5,NN,DT,VBP,",",CC
0,cause,",",",",6,",",NN,DT,CC,VBD
0,cause,and,and,7,CC,",",NN,VBD,TO
0,cause,learned,learn,8,VBD,CC,",",TO,VB
0,cause,to,to,9,TO,VBD,CC,VB,NNS
0,cause,pilot,pilot,10,VB,TO,VBD,NNS,.
0,cause,airplanes,airplane,11,NNS,VB,TO,.,XXXX
0,cause,.,.,12,.,NNS,VB,XXXX,XXXX
0,and,I,i,0,PRP,XXXX,XXXX,VBP,VBN
0,and,have,have,1,VBP,PRP,XXXX,VBN,DT
0,and,flown,flown,2,VBN,VBP,PRP,DT,JJ
0,and,a,a,3,DT,VBN,VBP,JJ,IN
0,and,little,little,4,JJ,DT,VBN,IN,DT
0,and,over,over,5,IN,JJ,DT,DT,NNS
0,and,all,all,6,DT,IN,JJ,NNS,IN
0,and,parts,part,7,NNS,DT,IN,IN,DT
0,and,of,of,8,IN,NNS,DT,DT,NN
0,and,the,the,9,DT,IN,NNS,NN,:
0,and,world,world,10,NN,DT,IN,:,CC
0,and,;,;,11,:,NN,DT,CC,PRP
1,and,and,and,12,CC,:,NN,PRP,VBZ
0,and,it,it,13,PRP,CC,:,VBZ,JJ
0,and,is,be,14,VBZ,PRP,CC,JJ,IN
0,and,true,true,15,JJ,VBZ,PRP,IN,NN
0,and,that,that,16,IN,JJ,VBZ,NN,VBZ
0,and,geography,geography,17,NN,IN,JJ,VBZ,VBN
0,and,has,have,18,VBZ,NN,IN,VBN,RB
0,and,been,be,19,VBN,VBZ,NN,RB,JJ
0,and,very,very,20,RB,VBN,VBZ,JJ,TO
0,and,useful,useful,21,JJ,RB,VBN,TO,PRP
0,and,to,to,22,TO,JJ,RB,PRP,.
0,and,me,me,23,PRP,TO,JJ,.,XXXX
0,and,.,.,24,.,PRP,TO,XXXX,XXXX
0,possible,At,at,0,IN,XXXX,XXXX,DT,NN
0,possible,a,a,1,DT,IN,XXXX,NN,PRP
0,possible,glance,glance,2,NN,DT,IN,PRP,MD
0,possible,I,i,3,PRP,NN,DT,MD,VB
0,possible,can,can,4,MD,PRP,NN,VB,NNP
0,possible,distinguish,distinguish,5,VB,MD,PRP,NNP,IN
0,possible,China,china,6,NNP,VB,MD,IN,NNP
0,possible,from,from,7,IN,NNP,VB,NNP,.
0,possible,Arizona,arizona,8,NNP,IN,NNP,.,XXXX
0,possible,.,.,9,.,NNP,IN,XXXX,XXXX
0,value,If,if,0,IN,XXXX,XXXX,CD,VBZ
0,value,one,one,1,CD,IN,XXXX,VBZ,VBN
0,value,gets,get,2,VBZ,CD,IN,VBN,IN
0,value,lost,lose,3,VBN,VBZ,CD,IN,DT
0,value,in,in,4,IN,VBN,VBZ,DT,NN
0,value,the,the,5,DT,IN,VBN,NN,","
0,value,night,night,6,NN,DT,IN,",",JJ
0,value,",",",",7,",",NN,DT,JJ,NN
0,value,such,such,8,JJ,",",NN,NN,VBZ
0,value,knowledge,knowledge,9,NN,JJ,",",VBZ,JJ
0,value,is,be,10,VBZ,NN,JJ,JJ,.
0,value,valuable,valuable,11,JJ,VBZ,NN,.,XXXX
0,value,.,.,12,.,JJ,VBZ,XXXX,XXXX
0,encounter,In,in,0,IN,XXXX,XXXX,DT,NN
0,encounter,the,the,1,DT,IN,XXXX,NN,IN
0,encounter,course,course,2,NN,DT,IN,IN,DT
0,encounter,of,of,3,IN,NN,DT,DT,NN
0,encounter,this,this,4,DT,IN,NN,NN,PRP
0,encounter,life,life,5,NN,DT,IN,PRP,VBP
0,encounter,I,i,6,PRP,NN,DT,VBP,VBD
0,encounter,have,have,7,VBP,PRP,NN,VBD,DT
0,encounter,had,have,8,VBD,VBP,PRP,DT,JJ
0,encounter,a,a,9,DT,VBD,VBP,JJ,JJ
0,encounter,great,great,10,JJ,DT,VBD,JJ,NNS
0,encounter,many,many,11,JJ,JJ,DT,NNS,IN
1,encounter,encounters,encounter,12,NNS,JJ,JJ,IN,DT
0,encounter,with,with,13,IN,NNS,JJ,DT,JJ
0,encounter,a,a,14,DT,IN,NNS,JJ,JJ
0,encounter,great,great,15,JJ,DT,IN,JJ,NNS
0,encounter,many,many,16,JJ,JJ,DT,NNS,WP
0,encounter,people,people,17,NNS,JJ,JJ,WP,VBP
0,encounter,who,who,18,WP,NNS,JJ,VBP,VBN
0,encounter,have,have,19,VBP,WP,NNS,VBN,VBN
0,encounter,been,be,20,VBN,VBP,WP,VBN,IN
0,encounter,concerned,concerned,21,VBN,VBN,VBP,IN,NNS
0,encounter,with,with,22,IN,VBN,VBN,NNS,IN
0,encounter,matters,matter,23,NNS,IN,VBN,IN,NN
0,encounter,of,of,24,IN,NNS,IN,NN,.
0,encounter,consequence,consequence,25,NN,IN,NNS,.,XXXX
0,encounter,.,.,26,.,NN,IN,XXXX,XXXX
0,live,I,i,0,PRP,XXXX,XXXX,VBP,VBN
0,live,have,have,1,VBP,PRP,XXXX,VBN,DT
1,live,lived,live,2,VBN,VBP,PRP,DT,JJ
0,live,a,a,3,DT,VBN,VBP,JJ,NN
0,live,great,great,4,JJ,DT,VBN,NN,IN
0,live,deal,deal,5,NN,JJ,DT,IN,JJ
0,live,among,among,6,IN,NN,JJ,JJ,:
0,live,grown,grown,7,JJ,IN,NN,:,NNS
0,live,-,-,8,:,JJ,IN,NNS,.
0,live,ups,ups,9,NNS,:,JJ,.,XXXX
0,live,.,.,10,.,NNS,:,XXXX,XXXX
0,see,I,i,0,PRP,XXXX,XXXX,VBP,VBN
0,see,have,have,1,VBP,PRP,XXXX,VBN,PRP
1,see,seen,see,2,VBN,VBP,PRP,PRP,RB
0,see,them,them,3,PRP,VBN,VBP,RB,","
0,see,intimately,intimately,4,RB,PRP,VBN,",",RB
0,see,",",",",5,",",RB,PRP,RB,IN
0,see,close,close,6,RB,",",RB,IN,NN
0,see,at,at,7,IN,RB,",",NN,.
0,see,hand,hand,8,NN,IN,RB,.,XXXX
0,see,.,.,9,.,NN,IN,XXXX,XXXX
1,and,And,and,0,CC,XXXX,XXXX,DT,VBZ
0,and,that,that,1,DT,CC,XXXX,VBZ,RB
0,and,has,have,2,VBZ,DT,CC,RB,RB
0,and,n't,n't,3,RB,VBZ,DT,RB,VBN
0,and,much,much,4,RB,RB,VBZ,VBN,PRP$
0,and,improved,improve,5,VBN,RB,RB,PRP$,NN
0,and,my,my,6,PRP$,VBN,RB,NN,IN
0,and,opinion,opinion,7,NN,PRP$,VBN,IN,PRP
0,and,of,of,8,IN,NN,PRP$,PRP,.
0,and,them,them,9,PRP,IN,NN,.,XXXX
0,and,.,.,10,.,PRP,IN,XXXX,XXXX
0,try,Whenever,whenever,0,WRB,XXXX,XXXX,PRP,VBD
0,try,I,i,1,PRP,WRB,XXXX,VBD,CD
0,try,met,met,2,VBD,PRP,WRB,CD,IN
0,try,one,one,3,CD,VBD,PRP,IN,PRP
0,try,of,of,4,IN,CD,VBD,PRP,WP
0,try,them,them,5,PRP,IN,CD,WP,VBD
0,try,who,who,6,WP,PRP,IN,VBD,TO
